Adair,20942,46144,52589
Adams,20942,46144,52589
Allamakee,20942,46144,52589
Appanoose,20942,46144,52589
Audubon,20942,46144,52589
Benton,21530,46362,52808
Black Hawk,21598,47853,54298
Boone,21188,46581,53027
Bremer,21120,46800,53246
Buchanan,21680,46718,53164
Buena Vista,21120,46171,52617
Butler,21489,46144,52589
Calhoun,20942,46144,52589
Carroll,21530,46144,52589
Cass,20942,46144,52589
Cedar,21448,46855,53300
Cerro Gordo,20955,47196,53642
Cherokee,20942,46144,52589
Chickasaw,20942,46144,52589
Clarke,21735,47265,53710
Clay,20942,46144,52589
Clayton,20285,46144,52589
Clinton,21092,46814,53259
Crawford,20942,46144,52589
Dallas,22555,48796,55242
Davis,21243,46567,53013
Decatur,20942,46144,52589
Delaware,20942,46144,52589
Des Moines,21626,47675,54121
Dickinson,21584,47060,53505
Dubuque,21981,48728,55174
Emmet,20942,46144,52589
Fayette,20942,46144,52589
Floyd,20942,46144,52589
Franklin,20942,46144,52589
Fremont,20942,46144,52589
Greene,21065,46321,52767
Grundy,21598,47853,54298
Guthrie,22555,48796,55242
Hamilton,21366,46745,53191
Hancock,20942,46144,52589
Hardin,20942,46144,52589
Harrison,22583,49753,56199
Henry,21885,46349,52794
Howard,20942,46144,52589
Humboldt,20942,46144,52589
Ida,20942,46144,52589
Iowa,20942,46144,52589
Jackson,20942,46144,52589
Jasper,20764,46896,53341
Jefferson,21188,47566,54011
Johnson,23690,51367,57813
Jones,20450,46403,52849
Keokuk,20942,46144,52589
Kossuth,20942,46144,52589
Lee,20299,46171,52617
Linn,21448,47976,54422
Louisa,21803,46909,53355
Lucas,21639,47128,53574
Lyon,20942,46144,52589
Madison,22555,48796,55242
Mahaska,21379,46759,53205
Marion,22282,47525,53970
Marshall,20928,47169,53615
Mills,22583,49753,56199
Mitchell,21407,46349,52794
Monona,21256,46144,52589
Monroe,20942,46144,52589
Montgomery,20942,46144,52589
Muscatine,22555,48413,54859
O'Brien,20942,46144,52589
Osceola,20942,46144,52589
Page,20942,46144,52589
Palo Alto,20942,46144,52589
Plymouth,20545,46567,53013
Pocahontas,20942,46144,52589
Polk,22555,48796,55242
Pottawattamie,22583,49753,56199
Poweshiek,21489,46923,53369
Ringgold,20942,46144,52589
Sac,20942,46144,52589
Scott,21284,47620,54066
Shelby,21243,46581,53027
Sioux,20942,46144,52589
Story,22008,48536,54982
Tama,21420,46827,53273
Taylor,20942,46144,52589
Union,20942,46144,52589
Van Buren,20942,46144,52589
Wapello,21024,47306,53752
Warren,22555,48796,55242
Washington,21940,48482,54927
Wayne,20942,46144,52589
Webster,21598,46144,52589
Winnebago,21256,46144,52589
Winneshiek,21133,46144,52589
Woodbury,21352,47825,54271
Worth,20942,46144,52589
Wright,20285,46144,52589
