Allegany,22267,49722,57636
Anne Arundel,27627,59198,67112
Baltimore city,27627,59198,67112
Baltimore,27627,59198,67112
Calvert,34970,64258,72172
Caroline,24879,53223,61137
Carroll,27627,59198,67112
Cecil,26834,56942,64856
Charles,34970,64258,72172
Dorchester,25713,53018,60932
Frederick,34970,64258,72172
Garrett,21870,50761,58675
Harford,27627,59198,67112
Howard,27627,59198,67112
Kent,26766,55753,63666
Montgomery,34970,64258,72172
Prince George's,34970,64258,72172
Queen Anne's,27627,59198,67112
Somerset,22062,50420,58333
St. Mary's,27408,57612,65526
Talbot,27518,56764,64678
Washington,22814,52252,60166
Wicomico,24017,53319,61232
Worcester,24373,53455,61369
