Adair,21029,45862,53083
Andrew,21480,46888,54108
Atchison,20468,45862,53083
Audrain,20974,46628,53849
Barry,20742,45862,53083
Barton,20195,45862,53083
Bates,21179,45862,53083
Benton,20687,46204,53425
Bollinger,22205,47202,54423
Boone,22137,47708,54929
Buchanan,21480,46888,54108
Butler,20783,46341,53561
Caldwell,22998,50087,57308
Callaway,21261,45971,53192
Camden,20851,46436,53657
Cape Girardeau,22205,47202,54423
Carroll,20468,45862,53083
Carter,20578,45889,53110
Cass,22998,50087,57308
Cedar,20550,46012,53233
Chariton,20468,45862,53083
Christian,21535,46819,54040
Clark,20468,45862,53083
Clay,22998,50087,57308
Clinton,22998,50087,57308
Cole,20961,45999,53220
Cooper,20605,46081,53302
Crawford,21822,46464,53684
Dade,20468,45862,53083
Dallas,20906,45862,53083
Daviess,20468,45862,53083
DeKalb,21480,46888,54108
Dent,20468,45862,53083
Douglas,20468,45862,53083
Dunklin,21179,45862,53083
Franklin,22998,49404,56624
Gasconade,20468,45862,53083
Gentry,20468,45862,53083
Greene,21535,46819,54040
Grundy,20468,45862,53083
Harrison,20769,46313,53534
Henry,21043,46737,53958
Hickory,20468,45862,53083
Holt,20468,45862,53083
Howard,21015,46682,53903
Howell,20468,45862,53083
Iron,20468,45862,53083
Jackson,22998,50087,57308
Jasper,21767,46764,53985
Jefferson,22998,49404,56624
Johnson,21289,47106,54327
Knox,20468,45862,53083
Laclede,20920,45862,53083
Lafayette,22998,50087,57308
Lawrence,20195,45862,53083
Lewis,20195,45862,53083
Lincoln,22998,49404,56624
Linn,20468,45862,53083
Livingston,21234,45930,53151
Macon,20195,45862,53083
Madison,20851,46436,53657
Maries,20468,45862,53083
Marion,20687,46190,53411
McDonald,21043,45862,53083
Mercer,20468,45862,53083
Miller,20687,46204,53425
Mississippi,20605,46081,53302
Moniteau,20195,45862,53083
Monroe,20468,45862,53083
Montgomery,20701,46217,53438
Morgan,20837,46874,54095
New Madrid,20468,45862,53083
Newton,21767,46764,53985
Nodaway,20824,46395,53616
Oregon,20468,45862,53083
Osage,20961,45999,53220
Ozark,20468,45862,53083
Pemiscot,20468,45862,53083
Perry,20824,46409,53630
Pettis,22096,47093,54313
Phelps,20837,46874,54095
Pike,20468,45862,53083
Platte,22998,50087,57308
Polk,20906,45862,53083
Pulaski,21918,48569,55790
Putnam,20468,45862,53083
Ralls,21152,46888,54108
Randolph,20468,45862,53083
Ray,22998,50087,57308
Reynolds,20468,45862,53083
Ripley,20468,45862,53083
Saline,20646,45862,53083
Schuyler,20195,45862,53083
Scotland,20468,45862,53083
Scott,20496,45862,53083
Shannon,20195,45862,53083
Shelby,20468,45862,53083
St. Charles,22998,49404,56624
St. Clair,20468,45862,53083
Ste. Genevieve,20810,46382,53602
St. Francois,21179,45862,53083
St. Louis city,22998,49404,56624
St. Louis,22998,49404,56624
Stoddard,20468,45862,53083
Stone,21275,47571,54792
Sullivan,21125,46860,54081
Sullivan part,22998,49404,56624
Taney,22670,46874,54095
Texas,20195,45862,53083
Vernon,20796,46737,53958
Warren,22998,49404,56624
Washington,21248,45862,53083
Wayne,20468,45862,53083
Webster,21535,46819,54040
Worth,20468,45862,53083
Wright,20468,45862,53083
