Baker,22170,47822,58993
Benton,24112,51227,62398
Clackamas,28583,55493,66664
Clatsop,24153,49818,60989
Columbia,28583,55493,66664
Coos,22184,48806,59977
Crook,21568,47822,58993
Curry,23086,50215,61386
Deschutes,24782,50228,61400
Douglas,22006,48533,59704
Gilliam,21568,47822,58993
Grant,21568,47822,58993
Harney,21568,47822,58993
Hood River,23455,50803,61974
Jackson,24057,50297,61468
Jefferson,22731,47822,58993
Josephine,24153,49381,60552
Klamath,22061,48615,59786
Lake,21568,47822,58993
Lane,23360,50666,61837
Lincoln,23838,49900,61071
Linn,23264,50516,61687
Malheur,22170,47822,58993
Marion,23114,49640,60812
Morrow,22772,47822,58993
Multnomah,28583,55493,66664
Polk,23114,49640,60812
Sherman,22020,48533,59704
Tillamook,22567,49299,60470
Umatilla,21760,48150,59321
Union,21555,47822,58993
Wallowa,21568,47822,58993
Wasco,22758,49271,60442
Washington,28583,55493,66664
Wheeler,21568,47822,58993
Yamhill,28583,55493,66664
